statement,category
Agricultural land inheritance dispute; sons' custom-based exclusive claim rejected due to post-1948 mutation under Shariat law.,Civil
"SC reversed HC regularization of FATA contract employees, citing non-applicability of KP Act 2009 and jurisdiction limits pre-25th Amendment.",Constitutional
"Supreme Court rules against regularization of contract/project employees, asserting no automatic right and High Court exceeding Article 199 powers.",Constitutional
Pre-emption suit: challenging concurrent findings on timely 'Talb-i-Muwathibat' and knowledge of sale under N.W.F.P. Pre-emption Act.,Civil
"Supreme Court affirms perpetual disqualification under Article 62(1)(f) for electoral candidates lacking honesty, righteousness, and sagacity.",Constitutional
,Civil
No judgment text provided for analysis.,Civil
"Appeal challenges High Court judgment on pre-emption rights, specifically performance of Talabs and superior claim under K.P.K. Pre-emption Act.",Civil
Sales tax liability for supplies to Tribal Areas; applicability of Sales Tax Act 1990 under Article 247 of Constitution.,Civil
Interpretation of Income Tax Ordinance S.214D; automatic audit triggered by Commissioner's inaction on tax return extension application.,Civil
ETPB appeals Peshawar High Court ruling on reasonableness of amended rent assessment scheme for evacuee trust properties.,Civil
,Civil
Specific performance suit: Supreme Court upholds dismissal due to trial court's lack of jurisdiction to extend time for sale consideration deposit.,Civil
"SC overturns High Court's regularization of KP contract/project employees, emphasizing statutory support, Project Policy, and judicial review limits.",Civil
,Civil
No judgment text provided; unable to summarize case details or legal issues.,Civil
Preemption suit: setting aside ex parte decree against minors due to guardian's negligence under Order 32 CPC.,Civil
"SC clarifies Central Excise Act's inquiry, FIR registration, and complaint procedure against CrPC for customs offenses.",Criminal
"No judgment text provided, analysis impossible.",Civil
Pre-emption suit challenging land sale followed by gift under Khyber Pakhtunkhwa Pre-emption Act; Talb requirement and gift validity examined.,Civil
Civil appeal challenging High Court's remand order allowing fresh written statement after plaint rejection for no cause of action.,Civil
"Dispute over ANF's status as 'person aggrieved' to appeal property forfeiture under Prevention of Smuggling Act, 1977.",Criminal
"Supreme Court recalls leave, dismissing appeal against consent remand order conforming with Order XLI Rule 25 CPC.",Civil
"Banking Court's power to shift from public auction to private treaty for mortgaged property sale and notice requirements, reconciling conflicting judgments.",Civil
Case details unavailable; no judgment text provided for analysis.,Civil
"Supreme Court revokes fraudulent succession certificate obtained by concealing legal heirs, emphasizing technicalities should not impede justice.",Civil
Supreme Court determines seniority between regularized KP civil service employees and KPPSC-recommended candidates under the 2009 Act.,Civil
"Civil Appeal against ECP's re-polling order due to unnatural voter turnout in PB-9 Kohlu, upholding ECP's jurisdiction.",Constitutional
Case text missing; unable to extract information or categorize.,Civil
Election Tribunal ordered re-poll in 37 stations for rigging/bogus votes; Supreme Court interpreted ROPA on partial re-election validity.,Constitutional
"Expiry of tenancy is a valid eviction ground under Islamabad Rent Restriction Ordinance, 2001, via Section 17(2)(ii)(b) read with Section 6.",Civil
"Appeal against Election Tribunal; election of PS-23 declared void due to bogus votes, invalid NICs, and Act violations.",Civil
Pre-emption suit by co-sharer failed due to non-performance of Talabs as required by law; High Court decision upheld.,Civil
"Dispute over arbitrator's jurisdiction and award validity under Arbitration Act, 1940 sections 8 & 9, concerning unilateral appointment.",Civil
Civil appeal clarifying High Court's S.100 CPC jurisdiction in pre-emption cases; lower courts' concurrent findings upheld against High Court reversal.,Civil
Election appeal challenging MNA disqualification for false qualification and widespread electoral irregularities; Supreme Court voids election due to irregularities.,Constitutional
"Oxford University Press income tax exemption allowed, clarifying ""educational purposes and not for profit"" doesn't require local operation or profit non-distribution.",Civil
"Civil servants challenged discriminatory post upgradation; Supreme Court ruled it a policy decision, not justiciable via writ petition.",Civil
"Civil appeal against High Court setting aside arbitration award made Rule of Court, disputing arbitrator misconduct and appealability grounds.",Civil
"SC restores dismissal of Pakistan Railways driver for fatal train collision, red signal violation, and negligence.",Civil
"Income tax refund dispute from tribal area; President's Article 247(6) order changed status, making tax leviable.",Constitutional
Civil appeal concerning admissibility and alleged forgery of a promissory note; challenging dismissal of summary suit for lack of proof.,Civil
Election petition dismissed due to mandatory non-attestation by Oath Commissioner and late amended petition; SC upholds prior judgments.,Civil
Civil servant's promotion dispute: whether pre-appointment litigation time counts towards required length of service for promotion.,Civil
"Empty judgment text provided; no legal issues, parties, or dispute type discernible for analysis.",Civil
Empty judgment text provided; no specific case details available for analysis or classification.,Civil
"Challenge to Vice Chancellor appointment based on merit list, Chief Minister's discretion, and HRC Order applicability in public universities.",Constitutional
"Dismissing private claims on Swat protected forests, SC upholds Forest Ordinance bar on civil court jurisdiction, emphasizing environmental protection.",Civil
"SC rules on reserved seats allocation for women/non-Muslims, denying SIC, upholding PTI's entitlement after ECP misinterpretation.",Constitutional
"ECP's flawed interpretation disqualified a major political party, questioning electoral integrity, fundamental rights, and reserved seats.",Constitutional
"Supreme Court discusses judicial restraint, constitutional powers, and scope of judicial review under Articles 184(3), 187, 190, 204.",Constitutional
SIDA employees' civil vs. public servant status and Service Tribunal jurisdiction over salary dispute challenged.,Civil
"SC declares ECP order ultra vires, quashing reserved seat notifications, affirming PTI's right to reserved seats as political party.",Constitutional
"Sugar mills challenged quality premium payments to sugarcane growers under Sindh Sugar Factories Control Act, 1950; appeals dismissed.",Constitutional
Civil Court lacked jurisdiction over time-barred land mortgage redemption dispute involving evacuee property under Land Settlement Act.,Civil
"Appeal against High Court's concurrent sentencing for brutal qatl-i-amd of wife and children, reversing consecutive orders.",Criminal
Missing judgment text; cannot derive specific case details for analysis.,Civil
State Life Insurance appeal against High Court judgment awarding widow's insurance claim for husband's accidental death.,Civil
Dispute over DDO's jurisdiction to cancel sale mutation due to fraud/misrepresentation; subsequent sale deed's validity challenged; civil court's domain affirmed.,Civil
SC dismisses insurer appeal on life insurance claim; non-disclosure of cardiac condition not grounds for avoidance after 2 years.,Civil
"Empty judgment text provided, no case details available for analysis.",Civil
Supreme Court upholds NBP officers' statutory pension rights; strikes down bank's unilateral reduction under Banks Nationalization Act.,Constitutional
"Customs appeal concerning SRO export obligations and mandatory time limits for Tribunal decisions; interpreting Customs Act, 1969.",Civil
No judgment text provided; unable to summarize case details from empty input.,Civil
"Does Chancellor's revisional power under University Act require Chief Minister's advice, interpreting 'functions' vs 'powers'?",Constitutional
,Civil
"SC remands local government election re-poll case to High Court, finding ECP exceeded jurisdiction by not forming a Tribunal.",Constitutional
Land acquisition compensation dispute for Abdul Wali Khan University Mardan; challenge to High Court's valuation and interest.,Civil
"Patwari dismissed for illegal government land transfer; Supreme Court restores penalty, criticizing Service Tribunal's lenient view on misconduct.",Civil
No judgment text provided; unable to analyze case details.,Civil
Appeal against bank employee's termination; challenging Provincial Labour Court's jurisdiction over trans-provincial establishment post-18th Amendment.,Constitutional
"Specific performance decree for land without property details challenged under S.12(2) CPC; SC finds court errors, remands for re-adjudication.",Civil
"Supreme Court upheld High Court ruling, PEMRA's delegation of broadcast license suspension to Chairman without rules unlawful.",Constitutional
Interpretation of 'candidate' under ROPA Section 52 for filing election petition after nomination rejection due to fake testimonials.,Constitutional
Civil appeal on specific performance of land sale contract; determining if subsequent purchaser was bona fide without notice.,Civil
Election petition dismissed for non-verification of amended pleadings challenging candidate's eligibility and expenses.,Constitutional
Dispute over fraudulent land mutation from incapacitated vendor; limitation period no bar against fraud.,Civil
"Legality of land acquisition for housing scheme and subsequent transfer to Education Department, challenged by community using it as Karbala.",Civil
Gift deed validity; attesting witness necessity under Qanun-e-Shahdat Order Article 79 when execution is denied by affected party.,Civil
Missing judgment text; unable to analyze case and extract details.,Civil
Civil Appeal: Government challenges Peshawar High Court's retrospective application of 'Assistance Package' for deceased employee families' employment.,Civil
Civil appeal on mandatory review petition before Complaints Redressal Cell for Punjab AEOs recruitment under 2016 Education Policy.,Civil
"Challenge to property sale mutation by a deaf and non-verbal person, alleging fraud and lack of consent.",Civil
"Landowner's appeal on jurisdiction and limitation for enhanced land acquisition compensation under Section 18, Land Acquisition Act.",Civil
"Clarifying territorial jurisdiction for filing arbitration awards under Arbitration Act 1940 and CPC Section 20, particularly involving government litigants.",Civil
"Dispute over succession to tenancy, applying Sharia law retrospectively for female heirs versus Colonization Act provisions.",Civil
No case text provided for analysis.,Civil
"Cabinet's BESOS approval held ultra vires Article 154 Constitution, lacking CCI input for employee stock options in SOEs.",Constitutional
"Appeal on High Court directing second FIR registration for murder due to conflicting incident versions, upholding no bar on multiple FIRs.",Criminal
Customs duty/sales tax exemption on imported Volvo FM 400 trucks for cement industry denied as they are not 'Off-Highway plant'.,Civil
,Civil
Dismissed civil appeal for specific performance of property sale due to buyer's failure to prove readiness/willingness.,Civil
,Civil
No judgment text provided; unable to extract case details.,Civil
"Inheritance dispute: daughters seek Shari'ah shares; step-family's Meharnama, Razinama rejected as unproven; estate distributed by Shari'ah.",Civil
"Taxation of bank interest on Government securities: accrual versus receipt basis under Income Tax Ordinance 1979, affirming hybrid accounting system.",Civil
No case judgment text provided for analysis and extraction of information.,Civil
National Bank appealed High Court order directing appointment of respondent despite prior murder case and Section 265-K Cr.P.C. acquittal.,Civil
,Civil
"Supreme Court interprets Competition Act 2010 sections on deceptive marketing, product labeling, and trademark infringement in a civil appeal.",Civil
"Appeal challenges dismissal of suit for annulment of inheritance mutation, barred by Order XXIII Rule 1 CPC and Limitation Act due to prior unconditional withdrawal.",Civil
Seniority dispute among Balochistan judicial officers over antedated promotions and regularization of ad-hoc appointments affecting service rights.,Civil
Appeal against Election Tribunal's re-polling order based on NADRA's verification of bogus votes and corrupt practices for NA-202.,Civil
"Dispute over customs duty refund; importer's entitlement despite passing incidence to consumer under Customs Act, 1969 Sections 19A, 33.",Civil
No judgment text provided for analysis; unable to extract case details.,Civil
No judgment text provided for analysis. Cannot determine specific legal issues or dispute types.,Civil
Specific performance suit dismissed; SC clarifies Article 185 appeal maintainability regarding partially varied judgments in property dispute.,Civil
"Supreme Court clarifies 'definite information' for reopening income tax assessments under s. 65 (1979 Ordinance), rejecting mere change of opinion.",Civil
WAPDA Foundation's excise/sales tax liability for transformer oil reclamation: interpreting 'manufacture' and 'taxable supply'.,Civil
No judgment text provided for analysis; unable to extract case details.,Civil
Civil appeal regarding teacher's BPS-16 to BPS-17 up-gradation eligibility based on service length under KPK notification.,Civil
Civil appeal on election dispute: candidate's asset misdeclaration in nomination papers under ROPA and Article 62(1)(f) of Constitution.,Constitutional
Upholding officer's reduction to lower post for prize bond misconduct; FR-29's penalty period requirement considered.,Civil
"No judgment text provided, unable to derive case specifics.",Civil
"Supreme Court dismisses brother's appeal, upholding sisters' inheritance rights to deceased father's estate against fraudulent compromise and denial, stressing Shariah.",Civil
Interpretation of Order XXI Rule 90 CPC: Is 20% auction price deposit mandatory without court direction for execution objection?,Civil
Stamp duty on specific performance sale deeds: valuation table vs. agreement price at registration per Stamp Act.,Civil
Denied reimbursement for increased sales and income tax on imported tractors; DDP contract terms override Sale of Goods Act S.64A.,Civil
"Police officer's seniority, pro forma promotion, and retrospective encadrement into Police Service of Pakistan (PSP); encadrement must be prospective.",Civil
"Supreme Court ruled Income Tax Ordinance 1979 amendment to presumptive tax regime was substantive, not procedural, thus denying retrospective effect.",Civil
"Supreme Court declares Sacked Employees Act 2010 ultra vires, violating fundamental rights and affecting civil servants' seniority.",Constitutional
Appeal on sales tax levy on Punjab Government's quarried property; Constitutional exemption under Article 165(1) upheld.,Constitutional
,Civil
No judgment text provided for analysis.,Civil
Appeal challenging High Court's ruling on partner's liability under Partnership Act for recovery of investment; SC restores trial court decree.,Civil
"Income tax notices under ss. 161/205 challenged by MCB Bank; clarifies Bilz precedent, validity of vague show cause notices.",Civil
Balochistan Police appeal against reinstatement of employees whose appointments were cancelled; Supreme Court upheld natural justice and vested rights.,Civil
Supreme Court dismisses pre-emption suit applying Muhammadan Law due to non-compliance with talb-i-muwathibat/ishhad demands and jurisdictional error.,Civil
Input judgment text missing; cannot extract case details or legal context accurately.,Civil
"Civil servant's date of birth alteration in service record for extended service rejected due to rules, delay, and non-binding decree.",Civil
"Court addresses electoral defection under Section 78A KP Local Government Act, ECP composition in local body elections.",Civil
"Postman's dismissal for misappropriation: SC clarifies civil servant/workman status, federal labor law overrides provincial jurisdiction.",Constitutional
"Clarifying if civil revision under CPC S.115 can be dismissed for non-prosecution after admission, and Limitation Act applicability to restoration.",Civil
"Pakistan Railways employee's entitlement to advance increments for LLB degree after already receiving increments for MA, challenging a service tribunal decision.",Civil
No judgment text provided; unable to analyze and summarize the case details.,Civil
"Property dispute: Evacuee status, PTDs validity, and collusive consent decree for ownership challenged in appeal.",Civil
Status of CSD employees and department under Article 199 for termination challenge; CSD declared non-governmental.,Constitutional
Land ownership dispute challenging High Court judgment; sale contract declared void due to seller's minority under Contract Act.,Civil
"Frontier Constabulary employees are civil servants; service grievances exclusively under Federal Service Tribunal jurisdiction, barring High Court writs.",Constitutional
Army reservist's minimum pension entitlement dispute; Federal OMs vs. special fixed-rate pension classification for retired personnel.,Civil
"Specific performance suit for property sale; admissibility of agreement with one witness versus executant's admission under Qanun-e-Shahadat Order, 1984.",Civil
Election appeal; candidate's election voided for false asset declaration and corrupt practice under ROPA; Supreme Court affirms Tribunal's suo motu power.,Constitutional
Preemption suit concerning short deposit of 1/3rd sale consideration due to bona fide error; court's role in clear direction.,Civil
Government's attempt to withdraw land acquisition after possession and compensation determination under Section 48 of Land Acquisition Act 1894 rejected.,Civil
"Supreme Court clarifies arbitrator's powers and court's review scope under Arbitration Act after GSA dispute, enforcing award, and addressing winding-up petition.",Civil
"Private medical colleges challenged equal stipend for internees; SC upheld High Court, mandating parity with public sector per regulations.",Constitutional
"Dispute over the 26th sajjadanashin appointment of Baba Farid Ganj Shakkar shrine, challenging succession custom and nomination.",Civil
"SC examines LDA's Signal Free Corridor Project, local government powers, Article 140A, and environmental compliance in Punjab.",Constitutional
"Civil appeal concerning specific performance and recovery of construction charges in a building contract dispute, partially reversing High Court judgment.",Civil
"SCOP examines LDA Act vires, local government devolution under Article 140A, and Signal Free Corridor Project validity.",Constitutional
Appeal allowed; social security institution contributions held taxable as 'income' under 1979 Ordinance; exemption denied.,Civil
"PTCL appealed civil suit regarding damages to Konish's trees on NHA land during cable laying, asserting no negligence liability.",Civil
"SC sets aside High Court's third remand order, finding `locus standi` issue framed; directs High Court to decide RFA.",Civil
Civil servant denied premature increment after time-scale promotion (BPS-17 to BPS-18); Supreme Court clarifies time-scale isn't regular promotion.,Civil
"Supreme Court dismissed FBR appeal, upholding civil servant's LDC confirmation from acting charge against direct quota due to maladministration.",Civil
"Habib Bank finance recovery case: Supreme Court rules on Banking Court jurisdiction over foreign interest-based loans under FIO, 2001.",Civil
No judgment text provided for analysis to extract case details and keywords.,Civil
"No judgment text provided, unable to extract case information.",Civil
"Customs Act Section 81 interpretation: provisional/final duty assessment, Collector's extension power, and goods misdeclaration.",Civil
"Dispute over international letter of credit, forged Bills of Lading, and bank's liability under UCP 500; fraud not proven.",Civil
Civil appeal against FST's reinstatement of Postmaster dismissed for supervisory negligence and misconduct in massive postal fraud.,Civil
Customs Act s.79(1) amendment on used goods import procedures challenged for discrimination under Article 25 upheld; fiscal statute's constitutionality.,Constitutional
Input judgment text missing for analysis; cannot extract legal details.,Civil
No judgment text provided; unable to summarize or classify case details.,Civil
"PIAC pilots dispute pension calculation; 1980 Trust Deed rescinded by Martial Law Regulation, ""master-servant"" principle applies.",Civil
"Lawfulness of civil servants' absorption into Gwadar Development Authority after deputation, challenging High Court's dismissal.",Civil
Challenge against civil servants' absorption into Balochistan Civil/Secretariat Services and maintainability of High Court petitions.,Civil
Civil servants challenged promotion exam method change by Controller General of Accounts; High Court ruling upheld due to invalid notification.,Civil
Appeal over specific performance of immovable property sale agreement; vendee failed to prove payment tender and deposit.,Civil
"Supreme Court reinstates contractual project employees terminated after regularization, finding discrimination, granting back benefits for service.",Civil
"Promotion dispute: Civil servants transferred to STEVTA remain governed by Sindh Civil Servants Act 1973, not STEVTA's rules.",Civil
Government appeal against Service Tribunal's penalty modification for employee's unauthorized foreign travel; compulsory retirement restored.,Civil
"Supreme Court upholds service tribunal converting police officer's dismissal to forfeiture, emphasizing mandatory regular inquiry despite criminal acquittals.",Civil
"Dispute over company share transfers, register rectification, and winding up under Companies Ordinance; clarifying Company Judge's power to record evidence.",Civil
"Election appeal challenging void election due to nomination paper defects (criminal case non-disclosure, seconder error) and runner-up declaration.",Constitutional
No judgment text provided for analysis; cannot extract case details.,Civil
"No judgment text provided for analysis, unable to extract case details.",Civil
Legality of amenity plot relocation in private housing layout; challenging High Court's KDA Order 52-A retrospective application to commercial conversion.,Civil
Default on Voluntary Return under NAB Ordinance: does it vitiate settlement for further proceedings or allow only S.33E recovery?,Criminal
Supreme Court clarifies Section 79 Income Tax Ordinance 1979 scope on transfer pricing and judicial review powers in tax references.,Civil
"Determining income tax exemption from minimum tax under Section 80D, considering fiscal incentives protection via Economic Reform Act.",Civil
Income tax appeal concerning insurance company's management expenses; lack of proof for Controller of Insurance's condonation of excess.,Civil
"Supreme Court reverses property ownership declaration for municipal land, dismissing suit due to lack of proof and limitation period violation.",Civil
"Dispute on advance income and sales tax levy on PATA-destined imports, involving Article 247(3) constitutional exemption and prior judgments review.",Civil
Regularization of Peshawar Market Committee employees challenged; Supreme Court sets aside termination orders under Markets Act.,Civil
Appeal challenging ancestral property gift deeds/mutations; Supreme Court affirmed house gift but reversed agricultural land gift for partition.,Civil
"Appeal against High Court upholding an amenity plot cannot be merged or converted for commercial use, protecting public rights.",Constitutional
Determining taxpayer's entitlement to income tax exemption for profits from businesses located in moderately affected areas under 2001 Ordinance.,Civil
"Supreme Court upholds police constable's dismissal for willful absence and criminal links, reversing Service Tribunal's reinstatement.",Civil
Appeal against High Court setting aside concurrent findings in property dispute over oral gift and fraud allegations.,Civil
Punjab Finance Act 2011 education cess on clubs declared ultra vires due to double taxation; SC held it constitutionally permissible.,Constitutional
"Supreme Court holds ITNE lacks jurisdiction for contractual/partnership claims under Newspaper Employees Act, beyond Wage Board implementation.",Civil
Election petition alleging bogus votes due to NADRA non-verification of counterfoils dismissed; non-verification alone does not prove votes bogus.,Civil
Civil servant proforma promotion: Competent authority can reject/remand CSB recommendations based on integrity; High Court order set aside.,Civil
Civil appeals concerning pre-emption suits for land possession; Talab-i-Muwatibat and limitation under KP Pre-emption Act crucial.,Civil
"Defence Housing Authority plot cancellation for Ministry of Defence attached employee challenged, citing eligibility and natural justice.",Civil
"Supreme Court declares National Command Authority Act, 2010 rules as statutory, not requiring Federal Government approval, impacting employee terms.",Constitutional
,Civil
"Supreme Court clarifies Wealth Tax Act's Section 25(2) revisional power limitation, holding it's four years to protect revenue interest.",Civil
Undefined Supreme Court case; no judgment text provided for analysis.,Civil
No judgment text provided for analysis. Please provide case report.,Civil
"Dispute over family pension calculation for missing person, interpreting Qanoon-e-Shahadat Order's Article 124 regarding probable death date after kidnapping.",Civil
ETPB commercial property sale declared void ab initio by Supreme Court for lack of proper authorization and Federal Government approval.,Civil
"Pakistan Railways appeals FST judgment granting annual increments for apprentice training period, citing Personnel Manual misinterpretation.",Civil
"Challenge to withholding tax deduction on National Saving certificates in Tribal Areas, disputing Income Tax Ordinance 2001 extension's constitutional validity.",Civil
"National Bank employee termination for unauthorized absence; Supreme Court reversed High Court, upholding termination, no inquiry needed for admitted absence.",Civil
Sales Tax Act: Mandatory nature of limitation period for assessment orders under Sections 11 & 36 and extension powers.,Civil
Property dispute: Illiterate woman challenges fraudulent gift mutation and subsequent land sale; Supreme Court upholds declaration.,Civil
No judgment text provided for analysis; unable to extract case details.,Civil
"Missing judgment text, unable to summarize case details or legal issues.",Civil
Dispute over rounding off psychological assessment marks in PPSC competitive examination for Deputy Prosecutor General recruitment.,Civil
"Supreme Court upholds PEMRA's exclusion of broadcasters from DTH licenses to prevent undue media concentration, reversing High Court.",Constitutional
"Supreme Court upholds civil servant repatriation from unmerited deputation/absorption, reinforcing strict adherence to recruitment rules.",Civil
Civil servant's repatriation challenged; absorption as Research Officer deemed irregular under service rules; previous judgments applied.,Civil
Election petition dismissed due to improper verification and invalid supporting affidavit under Representation of the People Act.,Civil
"Property dispute concerning dower deed ownership, revenue record correction, limitation, and civil suit maintainability since 1998.",Civil
Eligibility for in-service quota PMS posts; Caretakers excluded as KPPMS Rules 2007 are specific.,Constitutional
Ex-Army officials challenge Field General Court Martial death sentences; High Court jurisdiction barred under Article 199(3) of Constitution.,Constitutional
"Court clarifies 2011 Act's retrospective application to foreign arbitral awards made in Singapore, affirming pro-enforcement bias.",Civil
Income Tax Ordinance 2001 Section 221 applicability to 1979 assessment rectification and surcharge levy on minimum tax.,Civil
"Supreme Court clarifies excise duty excess collection, S.3-D Central Excises Act 1944 retrospective application and limitation for recovery.",Civil
"Civil appeal challenging High Court judgment on evacuee property transfer, PTD validity, and limitation under Repealing Act.",Civil
No judgment text provided for analysis.,Civil
Supreme Court refers civil servant's service appeal on time-barred departmental appeal competency to Larger Bench due to conflicting precedents.,Civil
"Supreme Court upholds Section 3A of Federal Excise Act 2005, reversing Sindh High Court's declaration of excessive legislative delegation.",Constitutional
"PEPCO appeals High Court's jurisdiction in QESCO promotion dispute, concerning statutory rules versus master and servant principle.",Constitutional
"Appeal challenging High Court judgment on arbitration award enforcement for land ownership under Arbitration Act, 1940 Section 32 bar.",Civil
"Empty judgment text provided, no analysis possible.",Civil
"SC denies higher medical allowance to retired Railways employee; pension drawn (BS-16) determines rate, not substantive grade (BS-15).",Civil
KPK Government's civil appeals challenging reinstatement of sacked employees under Act 2012 due to eligibility and application flaws.,Civil
"Sindh Local Government Act amendments on reserved seats, election method (secret ballot), and bureaucrat transfers challenged.",Constitutional
"Seniority dispute: civil servant promotees vs. direct appointees, interpreting Punjab Civil Servants Act/Rules on promotion date/batch.",Civil
"Civil servant challenges discontinuation of monetization allowance, alleging discrimination and violation of locus poenitentiae, dismissed by Service Tribunal.",Civil
